date,system_price(avg),area_price_中国,area_price_中部,area_price_九州,area_price_北海道,area_price_北陸,area_price_四国,area_price_東京,area_price_東北,area_price_関西,LNG(close),OIL(close)
2021-02-22,,,,,,,,,,,,61.7
2021-02-23,,,,,,,,,,,,61.67
2021-02-24,,,,,,,,,,,,63.22
2021-02-25,,,,,,,,,,,,63.53
2021-02-26,,,,,,,,,,,,61.5
2021-03-01,,,,,,,,,,,,60.64
2021-03-02,,,,,,,,,,,,59.75
2021-03-03,,,,,,,,,,,,61.28
2021-03-04,,,,,,,,,,,,63.83
2021-03-05,,,,,,,,,,,,66.09
2021-03-08,,,,,,,,,,,,65.05
2021-03-09,,,,,,,,,,,,64.01
2021-03-10,,,,,,,,,,,,64.44
2021-03-11,,,,,,,,,,,,66.02
2021-03-12,,,,,,,,,,,,65.61
2021-03-15,,,,,,,,,,,,65.39
2021-03-16,,,,,,,,,,,,64.8
2021-03-17,,,,,,,,,,,,64.6
2021-03-18,,,,,,,,,,,,60.06
2021-03-19,,,,,,,,,,,,61.44
2021-03-22,,,,,,,,,,,,61.56
2021-03-23,,,,,,,,,,,,57.76
2021-03-25,,,,,,,,,,,,58.56
2021-03-26,4.992083,5.1625,5.1625,3.947291,5.784166,5.1625,5.1625,5.866666,5.764166,5.1625,,60.97
2021-03-27,4.377916,4.345208,4.345208,3.7025,5.70125,4.345208,4.345208,5.454791,5.323958,4.345208,,
2021-03-28,5.226875,4.606041,4.606041,3.824583,5.792708,4.606041,4.606041,5.784583,5.7775,4.606041,,
2021-03-29,4.500833,4.543541,4.543541,3.500416,4.560416,4.543541,4.543541,5.366875,4.560416,4.543541,,61.56
2021-03-30,5.248333,5.263333,5.263333,5.261458,5.010416,5.263333,5.263333,5.345625,5.010416,5.263333,,60.55
2021-03-31,4.115208,4.010208,4.010208,3.687083,4.769583,4.010208,4.010208,4.968333,4.769583,4.010208,,59.16
2021-04-01,5.645416,5.628333,5.628333,5.341666,5.658333,5.628333,5.628333,5.90375,5.658333,5.628333,,61.45
2021-04-02,5.521875,5.58625,5.58625,5.127916,5.734791,5.58625,5.58625,5.841458,5.7525,5.58625,,
